freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.496e+02,6.994e+00,1.617e+01,3.727e+02
1.6,3.512e+02,2.615e+01,4.947e+01,4.268e+02
3.1,2.005e+02,2.965e+01,5.102e+01,2.812e+02
4.7,5.387e+02,2.684e+01,5.158e+01,6.171e+02
6.3,1.420e+03,2.651e+01,5.447e+01,1.501e+03
7.9,2.108e+03,2.555e+01,5.616e+01,2.189e+03
9.4,2.956e+03,2.533e+01,5.087e+01,3.032e+03
11.0,3.967e+03,2.561e+01,5.350e+01,4.046e+03
12.6,5.010e+03,2.644e+01,4.749e+01,5.084e+03
14.1,6.296e+03,2.660e+01,4.806e+01,6.371e+03
15.7,8.050e+03,2.406e+01,4.954e+01,8.124e+03
17.3,9.867e+03,2.284e+01,5.065e+01,9.940e+03
18.9,1.249e+04,2.358e+01,5.321e+01,1.257e+04
20.4,1.439e+04,2.570e+01,5.381e+01,1.447e+04
22.0,1.826e+04,2.563e+01,5.415e+01,1.834e+04
23.6,2.160e+04,2.531e+01,5.281e+01,2.167e+04
25.1,2.455e+04,2.417e+01,4.465e+01,2.462e+04
26.7,3.395e+04,3.372e+01,4.806e+01,3.403e+04
28.3,3.846e+04,6.480e+01,5.048e+01,3.857e+04
29.9,4.090e+04,1.039e+02,5.420e+01,4.105e+04
31.4,4.547e+04,1.108e+02,7.697e+01,4.566e+04
33.0,5.605e+04,1.016e+02,1.510e+02,5.631e+04
34.6,7.130e+04,1.213e+02,3.275e+02,7.175e+04
36.1,8.441e+04,1.650e+02,5.331e+02,8.511e+04
37.7,1.044e+05,1.928e+02,6.374e+02,1.052e+05
39.3,1.284e+05,2.022e+02,6.162e+02,1.293e+05
40.8,1.664e+05,1.921e+02,5.564e+02,1.672e+05
42.4,2.138e+05,1.630e+02,4.667e+02,2.144e+05
44.0,2.868e+05,1.513e+02,7.851e+02,2.877e+05
45.6,4.056e+05,1.216e+02,2.175e+03,4.079e+05
47.1,5.359e+05,1.393e+02,7.993e+03,5.441e+05
48.7,6.064e+05,2.314e+02,1.910e+04,6.257e+05
50.3,6.021e+05,1.641e+02,1.853e+04,6.208e+05
51.8,6.276e+05,1.093e+02,9.826e+03,6.375e+05
53.4,5.979e+05,1.734e+02,5.893e+03,6.040e+05
55.0,5.146e+05,2.376e+02,3.806e+03,5.187e+05
56.6,4.566e+05,2.174e+02,2.938e+03,4.597e+05
58.1,3.130e+05,1.270e+02,2.029e+03,3.151e+05
59.7,2.693e+05,2.110e+02,1.599e+03,2.711e+05
61.3,2.360e+05,2.701e+02,1.148e+03,2.374e+05
62.8,1.954e+05,1.729e+02,1.308e+03,1.968e+05
64.4,1.819e+05,1.456e+02,1.991e+03,1.840e+05
66.0,1.540e+05,4.531e+02,2.722e+03,1.572e+05
67.6,1.066e+05,1.017e+03,2.915e+03,1.106e+05
69.1,1.022e+05,1.706e+03,3.548e+03,1.075e+05
70.7,7.796e+04,1.623e+03,3.144e+03,8.272e+04
72.3,8.416e+04,1.536e+03,3.280e+03,8.898e+04
73.8,7.990e+04,8.997e+02,2.804e+03,8.360e+04
75.4,8.435e+04,7.184e+02,3.349e+03,8.841e+04
77.0,7.293e+04,1.246e+03,4.319e+03,7.849e+04
78.6,7.347e+04,3.146e+03,6.825e+03,8.344e+04
80.1,7.041e+04,5.651e+03,9.214e+03,8.528e+04
81.7,6.102e+04,7.236e+03,9.759e+03,7.802e+04
83.3,6.099e+04,9.535e+03,1.055e+04,8.107e+04
84.8,6.632e+04,1.185e+04,1.149e+04,8.967e+04
86.4,5.936e+04,1.141e+04,9.745e+03,8.051e+04
88.0,4.805e+04,8.946e+03,6.794e+03,6.379e+04
89.6,4.474e+04,6.732e+03,4.820e+03,5.630e+04
91.1,4.656e+04,5.107e+03,3.813e+03,5.548e+04
92.7,4.180e+04,3.433e+03,2.732e+03,4.796e+04
94.3,3.729e+04,1.905e+03,2.252e+03,4.144e+04
95.8,3.279e+04,1.936e+03,2.877e+03,3.760e+04
97.4,3.005e+04,2.342e+03,3.591e+03,3.598e+04
99.0,2.636e+04,2.109e+03,3.838e+03,3.230e+04
100.6,2.365e+04,2.421e+03,4.232e+03,3.030e+04
102.1,2.340e+04,2.268e+03,4.444e+03,3.012e+04
103.7,2.452e+04,2.001e+03,4.304e+03,3.082e+04
105.3,2.099e+04,1.596e+03,3.296e+03,2.588e+04
