freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.368e+01,8.182e+01,5.811e+02,6.966e+02
1.6,4.935e+01,9.561e+01,4.261e+02,5.710e+02
3.1,3.656e+01,6.762e+01,1.852e+02,2.893e+02
4.7,3.534e+01,6.713e+01,5.064e+02,6.089e+02
6.3,3.690e+01,7.003e+01,1.367e+03,1.474e+03
7.8,3.599e+01,7.004e+01,2.229e+03,2.335e+03
9.4,3.909e+01,7.434e+01,3.284e+03,3.398e+03
11.0,5.554e+01,7.995e+01,4.392e+03,4.527e+03
12.5,7.229e+01,8.206e+01,5.860e+03,6.015e+03
14.1,6.937e+01,7.989e+01,8.118e+03,8.267e+03
15.7,5.331e+01,8.776e+01,9.618e+03,9.759e+03
17.2,5.684e+01,1.016e+02,1.254e+04,1.270e+04
18.8,5.055e+01,1.546e+02,1.708e+04,1.729e+04
20.4,5.098e+01,1.912e+02,2.237e+04,2.261e+04
21.9,5.557e+01,2.161e+02,2.816e+04,2.843e+04
23.5,7.369e+01,3.982e+02,3.707e+04,3.754e+04
25.1,8.695e+01,4.016e+02,4.416e+04,4.465e+04
26.6,7.582e+01,2.390e+02,4.941e+04,4.972e+04
28.2,1.763e+02,3.851e+02,6.612e+04,6.668e+04
29.8,3.831e+02,8.928e+02,9.525e+04,9.653e+04
31.3,6.371e+02,1.498e+03,1.293e+05,1.315e+05
32.9,1.023e+03,2.215e+03,1.831e+05,1.864e+05
34.5,1.976e+03,4.450e+03,3.206e+05,3.270e+05
36.0,5.115e+03,1.085e+04,6.107e+05,6.267e+05
37.6,1.242e+04,2.450e+04,1.105e+06,1.142e+06
39.2,2.354e+04,4.342e+04,1.605e+06,1.672e+06
40.7,3.214e+04,5.143e+04,1.643e+06,1.726e+06
42.3,3.638e+04,4.815e+04,1.369e+06,1.453e+06
43.9,3.580e+04,3.652e+04,9.563e+05,1.029e+06
45.4,3.620e+04,2.833e+04,6.906e+05,7.552e+05
47.0,2.898e+04,1.873e+04,4.497e+05,4.974e+05
48.6,3.089e+04,1.525e+04,3.847e+05,4.309e+05
50.1,3.215e+04,1.327e+04,3.169e+05,3.623e+05
51.7,3.296e+04,1.218e+04,2.568e+05,3.020e+05
53.3,2.543e+04,1.218e+04,2.178e+05,2.554e+05
54.8,1.384e+04,1.445e+04,1.561e+05,1.844e+05
56.4,5.295e+03,1.745e+04,1.055e+05,1.283e+05
58.0,1.639e+03,1.432e+04,6.734e+04,8.330e+04
59.5,1.445e+03,1.726e+04,5.881e+04,7.751e+04
61.1,2.043e+03,2.260e+04,5.048e+04,7.513e+04
62.7,2.747e+03,3.252e+04,4.574e+04,8.101e+04
64.2,3.771e+03,4.603e+04,3.900e+04,8.880e+04
